MATRIX MULTIPLICATION
Matrix dimension;FPGA time;FPGA time Optimisation;CPUTIME; CPU tim Optimisation
2.000000 ;0.000522 ;0.000344 ;-0.000086 ;0.009303 
4.000000 ;0.000148 ;0.000124 ;0.000154 ;0.000159 
8.000000 ;0.000230 ;0.000466 ;0.000010 ;0.000017 
16.000000 ;0.000682 ;0.000356 ;-0.000084 ;-0.000069 
32.000000 ;0.000998 ;0.001134 ;0.000274 ;-0.000159 
64.000000 ;0.002263 ;0.002166 ;0.000260 ;0.000046 
128.000000 ;0.004948 ;0.005471 ;0.002332 ;0.000808 
256.000000 ;0.014551 ;0.016103 ;0.021622 ;0.005911 
512.000000 ;0.047026 ;0.058497 ;0.249952 ;0.060001 
total_time; 0.506481
