MATRIX MULTIPLICATION
Matrix dimension;FPGA time;FPGA time Optimisation;CPUTIME; CPU tim Optimisation
2.000000 ;0.002526 ;0.002522 ;-0.000088 ;0.001029 
4.000000 ;0.002452 ;0.002496 ;-0.000033 ;0.000030 
8.000000 ;0.002389 ;0.002585 ;0.000080 ;0.000157 
16.000000 ;0.002474 ;0.002348 ;-0.000042 ;0.000109 
32.000000 ;0.003235 ;0.006874 ;0.000514 ;0.000051 
64.000000 ;0.010022 ;0.005760 ;0.002827 ;0.001182 
128.000000 ;0.040596 ;0.025883 ;0.051348 ;0.009856 
256.000000 ;0.275395 ;0.158700 ;0.464436 ;0.085568 
512.000000 ;2.226125 ;1.114184 ;11.108536 ;0.875937 
1024.000000 ;26.829512 ;8.366935 ;163.377213 ;7.269687 
2048.000000 ;281.704468 ;64.845528 ;1469.118408 ;57.969891 
total_time; 2095.969727
