MATRIX MULTIPLICATION
Matrix dimension;FPGA time;FPGA time Optimisation;CPUTIME; CPU tim Optimisation
2.000000 ;0.001995 ;0.002362 ;-0.000005 ;0.000340 
4.000000 ;0.001852 ;0.001870 ;-0.000009 ;0.000055 
8.000000 ;0.001949 ;0.001798 ;0.000001 ;0.000048 
16.000000 ;0.001856 ;0.001834 ;0.000043 ;0.000061 
32.000000 ;0.002335 ;0.002494 ;0.000340 ;0.000196 
64.000000 ;0.006777 ;0.005671 ;0.002844 ;0.005816 
128.000000 ;0.040331 ;0.025813 ;0.051290 ;0.013774 
256.000000 ;0.275361 ;0.158282 ;0.464655 ;0.101885 
512.000000 ;2.496297 ;1.114027 ;11.048791 ;0.875990 
total_time; 16.709019
